
🎯 **Evaluation Metrics:**
✅ Accuracy: 0.2098
✅ Precision: 0.6502
✅ Recall: 0.2098
✅ F1-score: 0.1175

**Test Sample Predictions:**
🖼 Image: ./split_dataset/test/flood/images/hurricaneirma_2017-11-21_20-09-53.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-16_17-33-35.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-09_15-16-13.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/disasters_2017-08-15_04-16-27.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-13_16-44-47.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-21_20-59-26.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-22_12-05-35.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-04_19-36-38.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-20_20-44-38.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-13_00-50-55.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-28_03-11-40.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-21_22-36-41.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
